time,pPV
1641758400,16.04
1641759300,15.32
1641760200,15.52
1641761100,15.24
1641762000,15.6
1641762900,15.28
1641763800,15.4
1641764700,15.32
1641765600,9.0
1641766500,9.08
1641767400,8.92
1641768300,9.0
1641769200,8.8
1641770100,9.12
1641771000,8.88
1641771900,9.64
1641772800,9.32
1641773700,9.08
1641774600,8.76
1641775500,9.12
1641776400,8.96
1641777300,8.96
1641778200,9.0
1641779100,8.8
1641780000,9.08
1641780900,8.92
1641781800,9.12
1641782700,8.92
1641783600,9.16
1641784500,8.88
1641785400,9.16
1641786300,8.88
1641787200,10.16
1641788100,9.88
1641789000,10.12
1641789900,10.04
1641790800,10.0
1641791700,10.08
1641792600,9.84
1641793500,10.16
1641794400,14.88
1641795300,16.48
1641796200,17.6
1641797100,18.56
1641798000,19.4
1641798900,20.44
1641799800,20.52
1641800700,23.56
1641801600,21.36
1641802500,22.16
1641803400,22.48
1641804300,23.2
1641805200,23.24
1641806100,24.2
1641807000,25.76
1641807900,23.48
1641808800,24.32
1641809700,24.88
1641810600,26.08
1641811500,23.88
1641812400,24.76
1641813300,23.56
1641814200,25.08
1641815100,23.68
1641816000,23.48
1641816900,23.56
1641817800,23.92
1641818700,24.0
1641819600,23.0
1641820500,24.52
1641821400,23.48
1641822300,22.8
1641823200,22.36
1641824100,24.24
1641825000,23.48
1641825900,24.0
1641826800,22.84
1641827700,21.0
1641828600,23.6
1641829500,24.64
1641830400,23.8
1641831300,22.52
1641832200,21.0
1641833100,20.32
1641834000,21.52
1641834900,20.8
1641835800,18.72
1641836700,19.96
1641837600,18.64
1641838500,18.92
1641839400,17.28
1641840300,17.72
1641841200,17.52
1641842100,17.92
1641843000,17.24
1641843900,17.48
1641844800,16.68
1641845700,16.36
1641846600,15.92
1641847500,16.2
1641848400,16.0
1641849300,16.32
1641850200,16.0
1641851100,16.16
1641852000,9.68
1641852900,9.72
1641853800,9.68
1641854700,9.72
1641855600,9.6
1641856500,9.68
1641857400,9.72
1641858300,9.68
1641859200,9.72
1641860100,9.6
1641861000,9.84
1641861900,9.6
1641862800,9.88
1641863700,9.6
1641864600,9.8
1641865500,9.48
1641866400,9.8
1641867300,9.6
1641868200,9.8
1641869100,9.36
1641870000,9.84
1641870900,9.52
1641871800,9.96
1641872700,9.52
1641873600,10.92
1641874500,10.52
1641875400,10.92
1641876300,10.64
1641877200,11.96
1641878100,10.96
1641879000,10.84
1641879900,10.52
1641880800,15.84
1641881700,17.24
1641882600,18.16
1641883500,18.68
1641884400,18.32
1641885300,20.56
1641886200,19.16
1641887100,20.32
1641888000,19.72
1641888900,19.36
1641889800,20.12
1641890700,20.56
1641891600,20.24
1641892500,21.32
1641893400,21.16
1641894300,21.04
1641895200,19.64
1641896100,20.92
1641897000,19.6
1641897900,21.2
1641898800,20.32
1641899700,20.32
1641900600,20.96
1641901500,20.72
1641902400,20.68
1641903300,22.48
1641904200,20.32
1641905100,20.2
1641906000,20.8
1641906900,22.24
1641907800,24.76
1641908700,23.52
1641909600,22.4
1641910500,22.12
1641911400,24.12
1641912300,22.24
1641913200,21.64
1641914100,21.12
1641915000,21.36
1641915900,20.76
1641916800,20.24
1641917700,20.0
1641918600,23.52
1641919500,21.84
1641920400,21.8
1641921300,20.6
1641922200,21.24
1641923100,18.76
1641924000,18.16
1641924900,17.96
1641925800,18.08
1641926700,17.48
1641927600,17.8
1641928500,17.6
1641929400,17.76
1641930300,17.52
1641931200,17.24
1641932100,16.52
1641933000,16.68
1641933900,16.44
1641934800,16.52
1641935700,16.36
1641936600,17.52
1641937500,16.44
1641938400,10.2
1641939300,9.84
1641940200,9.96
1641941100,9.88
1641942000,10.0
1641942900,9.96
1641943800,9.96
1641944700,9.8
1641945600,10.0
1641946500,9.92
1641947400,10.16
1641948300,9.96
1641949200,9.92
1641950100,10.6
1641951000,9.8
1641951900,10.0
1641952800,10.4
1641953700,9.88
1641954600,9.64
1641955500,9.68
1641956400,9.56
1641957300,10.0
1641958200,9.68
1641959100,10.0
1641960000,10.56
1641960900,10.92
1641961800,10.64
1641962700,11.0
1641963600,10.68
1641964500,10.84
1641965400,10.6
1641966300,11.12
1641967200,16.8
1641968100,16.84
1641969000,16.96
1641969900,17.68
1641970800,18.04
1641971700,19.96
1641972600,20.24
1641973500,19.92
1641974400,19.6
1641975300,20.52
1641976200,18.76
1641977100,21.44
1641978000,20.68
1641978900,20.56
1641979800,21.4
1641980700,22.32
1641981600,22.48
1641982500,22.88
1641983400,22.2
1641984300,22.04
1641985200,21.8
1641986100,21.48
1641987000,22.08
1641987900,20.84
1641988800,22.76
1641989700,22.8
1641990600,21.8
1641991500,22.16
1641992400,21.68
1641993300,22.36
1641994200,21.0
1641995100,22.08
1641996000,21.2
1641996900,20.48
1641997800,23.44
1641998700,22.68
1641999600,21.76
1642000500,22.8
1642001400,22.28
1642002300,22.6
1642003200,22.48
1642004100,22.08
1642005000,21.08
1642005900,21.44
1642006800,19.84
1642007700,21.24
1642008600,19.28
1642009500,18.92
1642010400,18.56
1642011300,19.52
1642012200,18.92
1642013100,18.56
1642014000,18.0
1642014900,18.12
1642015800,19.96
1642016700,18.08
1642017600,17.6
1642018500,16.8
1642019400,17.2
1642020300,16.88
1642021200,17.08
1642022100,16.72
1642023000,17.0
1642023900,16.76
1642024800,10.72
1642025700,10.32
1642026600,10.48
1642027500,10.36
1642028400,10.48
1642029300,10.48
1642030200,10.32
1642031100,10.56
1642032000,10.28
1642032900,10.6
1642033800,10.32
1642034700,10.52
1642035600,10.24
1642036500,10.52
1642037400,10.28
1642038300,10.6
1642039200,10.2
1642040100,10.44
1642041000,10.24
1642041900,10.56
1642042800,10.52
1642043700,10.4
1642044600,10.44
1642045500,10.28
1642046400,11.68
1642047300,11.4
1642048200,11.76
1642049100,11.32
1642050000,11.64
1642050900,11.2
1642051800,11.68
1642052700,11.32
1642053600,16.64
1642054500,17.84
1642055400,18.92
1642056300,20.56
1642057200,18.28
1642058100,18.96
1642059000,24.72
1642059900,23.96
1642060800,23.68
1642061700,24.8
1642062600,23.2
1642063500,23.32
1642064400,23.36
1642065300,22.64
1642066200,25.08
1642067100,25.2
1642068000,24.72
1642068900,25.04
1642069800,21.52
1642070700,22.16
1642071600,24.84
1642072500,24.32
1642073400,22.4
1642074300,22.56
1642075200,23.72
1642076100,21.08
1642077000,22.36
1642077900,24.68
1642078800,26.04
1642079700,23.48
1642080600,23.44
1642081500,21.92
1642082400,22.36
1642083300,19.72
1642084200,19.96
1642085100,19.6
1642086000,21.56
1642086900,19.76
1642087800,22.8
1642088700,21.04
1642089600,18.96
1642090500,22.72
1642091400,20.76
1642092300,18.92
1642093200,18.72
1642094100,19.24
1642095000,17.32
1642095900,17.6
1642096800,17.8
1642097700,17.28
1642098600,17.64
1642099500,18.68
1642100400,18.56
1642101300,16.92
1642102200,17.04
1642103100,17.52
1642104000,16.16
1642104900,15.48
1642105800,15.64
1642106700,15.88
1642107600,16.08
